Correct,Total,Cluster Rating
0,1,0.24
0,1,0.16
0,1,0.2
0,1,0.19
0,1,0.17
0,1,0.18
0,1,0.24
0,1,0.16
0,1,0.2
0,1,0.19
0,1,0.17
0,1,0.18
0,1,0.24
0,1,0.16
0,1,0.2
0,1,0.19
0,1,0.17
0,1,0.18
0,1,0.24
0,1,0.16
0,1,0.2
0,1,0.19
0,1,0.17
0,1,0.18
0,1,0.24
0,1,0.16
0,1,0.2
0,1,0.19
0,1,0.17
0,1,0.18
0,1,0.24
0,1,0.16
0,1,0.2
0,1,0.19
0,1,0.17
0,1,0.18
1,1,0.7468259051080945
1,1,0.8123931793309178
1,1,0.78881450850513
1,1,0.7966341436966586
1,1,0.769565026366504
1,1,0.8021910085409356
1,1,0.7468259051080945
1,1,0.8123931793309178
1,1,0.78881450850513
1,1,0.7966341436966586
1,1,0.769565026366504
1,1,0.8021910085409356
1,1,0.7468259051080945
1,1,0.8123931793309178
1,1,0.78881450850513
1,1,0.7966341436966586
1,1,0.769565026366504
1,1,0.8021910085409356
1,1,0.7468259051080945
1,1,0.8123931793309178
1,1,0.78881450850513
1,1,0.7966341436966586
1,1,0.769565026366504
1,1,0.8021910085409356
1,1,0.7468259051080945
1,1,0.8123931793309178
1,1,0.78881450850513
1,1,0.7966341436966586
1,1,0.769565026366504
1,1,0.8021910085409356
1,1,0.7468259051080945
1,1,0.8123931793309178
1,1,0.78881450850513
1,1,0.7966341436966586
1,1,0.769565026366504
1,1,0.8021910085409356
0,2,0.24
0,2,0.16
0,2,0.2
0,2,0.19
0,2,0.17
0,2,0.18
0,2,0.24
0,2,0.16
0,2,0.2
0,2,0.19
0,2,0.17
0,2,0.18
0,2,0.24
0,2,0.16
0,2,0.2
0,2,0.19
0,2,0.17
0,2,0.18
0,2,0.24
0,2,0.16
0,2,0.2
0,2,0.19
0,2,0.17
0,2,0.18
0,2,0.24
0,2,0.16
0,2,0.2
0,2,0.19
0,2,0.17
0,2,0.18
0,2,0.24
0,2,0.16
0,2,0.2
0,2,0.19
0,2,0.17
0,2,0.18
1,2,0.5846039355944507
1,2,0.5422075700667872
1,2,0.6072443241756901
1,2,0.6006323796874546
1,2,0.5413077652135434
1,2,0.5837935522217611
1,2,0.5846039355944507
1,2,0.5422075700667872
1,2,0.6072443241756901
1,2,0.6006323796874546
1,2,0.5413077652135434
1,2,0.5837935522217611
1,2,0.5846039355944507
1,2,0.5422075700667872
1,2,0.6072443241756901
1,2,0.6006323796874546
1,2,0.5413077652135434
1,2,0.5837935522217611
1,2,0.5846039355944507
1,2,0.5422075700667872
1,2,0.6072443241756901
1,2,0.6006323796874546
1,2,0.5413077652135434
1,2,0.5837935522217611
1,2,0.5846039355944507
1,2,0.5422075700667872
1,2,0.6072443241756901
1,2,0.6006323796874546
1,2,0.5413077652135434
1,2,0.5837935522217611
1,2,0.5846039355944507
1,2,0.5422075700667872
1,2,0.6072443241756901
1,2,0.6006323796874546
1,2,0.5413077652135434
1,2,0.5837935522217611
2,2,0.7489810524686995
2,2,0.8153020665725794
2,2,0.7909736893970934
2,2,0.7989035823133169
2,2,0.7720784947758355
2,2,0.8046623386446906
2,2,0.7489810524686995
2,2,0.8153020665725794
2,2,0.7909736893970934
2,2,0.7989035823133169
2,2,0.7720784947758355
2,2,0.8046623386446906
2,2,0.7489810524686995
2,2,0.8153020665725794
2,2,0.7909736893970934
2,2,0.7989035823133169
2,2,0.7720784947758355
2,2,0.8046623386446906
2,2,0.7489810524686995
2,2,0.8153020665725794
2,2,0.7909736893970934
2,2,0.7989035823133169
2,2,0.7720784947758355
2,2,0.8046623386446906
2,2,0.7489810524686995
2,2,0.8153020665725794
2,2,0.7909736893970934
2,2,0.7989035823133169
2,2,0.7720784947758355
2,2,0.8046623386446906
2,2,0.7489810524686995
2,2,0.8153020665725794
2,2,0.7909736893970934
2,2,0.7989035823133169
2,2,0.7720784947758355
2,2,0.8046623386446906
0,3,0.24
0,3,0.16
0,3,0.2
0,3,0.19
0,3,0.17
0,3,0.18
0,3,0.24
0,3,0.16
0,3,0.2
0,3,0.19
0,3,0.17
0,3,0.18
0,3,0.24
0,3,0.16
0,3,0.2
0,3,0.19
0,3,0.17
0,3,0.18
0,3,0.24
0,3,0.16
0,3,0.2
0,3,0.19
0,3,0.17
0,3,0.18
